post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47644808,The machines are fine. I'm worried about us,worldnews,22,2,Plasmoid,2026-04-05 16:20:39,0.08695652173913043,False
47637287,Some Unusual Trees,worldnews,278,82,simplegeek,2026-04-05 16:20:45,0.2939068100358423,True
47645817,How Pope Leo is pushing back on divine justification of war,worldnews,33,18,1659447091,2026-04-05 16:20:46,0.5294117647058824,False
47610590,The East India Company in Japan,worldnews,10,2,Thevet,2026-04-05 16:20:47,0.18181818181818182,False
47628608,OpenClaw privilege escalation vulnerability,worldnews,504,249,kykeonaut,2026-04-05 16:20:52,0.49306930693069306,True
47629903,Why are we still using Markdown?,worldnews,211,280,veqq,2026-04-05 16:20:54,1.320754716981132,True
47597366,The most-disliked people in the publishing industry,worldnews,92,64,Caiero,2026-04-05 16:20:56,0.6881720430107527,False
47616242,Decisions that eroded trust in Azure – by a former Azure Core engineer,worldnews,1247,632,axelriet,2026-04-05 16:20:57,0.5064102564102564,True
47633116,The house is a work of art: Frank Lloyd Wright,worldnews,111,63,midnightfish,2026-04-05 16:20:58,0.5625,False
47601194,"The Cathedral, the Bazaar, and the Winchester Mystery House",worldnews,181,63,dbreunig,2026-04-05 16:20:59,0.34615384615384615,True
47643656,The Oxygen Apocalpyse: how bacteria used a spin diode to wipe out ancient life,worldnews,21,4,KR_compchem,2026-04-05 16:21:02,0.18181818181818182,False
47642275,"Netflix must refund customers for years of price hikes, Italian court rules",worldnews,58,5,xbmcuser,2026-04-05 16:21:05,0.0847457627118644,False
47624804,Category Theory Illustrated – Types,worldnews,108,19,boris_m,2026-04-05 16:21:07,0.1743119266055046,False
47646241,Applying machine learning to identify unrecognized Covid-19 deaths in the US,worldnews,11,7,Pxtl,2026-04-05 16:21:09,0.5833333333333334,False
47633676,"Extra usage credit for Pro, Max, and Team plans",worldnews,64,60,angst,2026-04-05 16:21:15,0.9230769230769231,False
47597159,Improving my focus by giving up my big monitor,worldnews,182,173,Fudgel,2026-04-05 16:21:16,0.9453551912568307,True
47624736,NHS staff refusing to use FDP over Palantir ethical concerns,worldnews,352,163,chrisjj,2026-04-05 16:21:20,0.46175637393767704,True
